"ID","Key","Value"
"id-2f94c7191f5741b69853df8bdd7e92e9","Ref EAGLE (WRICEF)",""
"id-2f94c7191f5741b69853df8bdd7e92e9","lien GED modèle","http://ged/sites/DIL/GFP/Gestion%20de%20Production/FPI%20-%20composant.doc?csf=1&e=ebfX6U"
"id-d0ccb9604a72466d80fde019fc6ce218","Ref EAGLE (WRICEF)",""
"id-d0ccb9604a72466d80fde019fc6ce218","lien GED modèle","http://ged/sites/DIL/GFP/Gestion%20de%20Production/FPT%20-%20tiroir.doc?csf=1&e=XYpEPJ"
"id-8ad4222747514b44935c87bcf1fdac7d","lien GED modèle",""
"id-5c69e1051a674d759afd2324fcfa5074","Ref EAGLE (WRICEF)",""
"id-5c69e1051a674d759afd2324fcfa5074","lien GED modèle","http://ged/sites/DIL/GFP/Gestion%20de%20Production/FPU%20-%20Rangement.xls?csf=1&e=6YxJX9"
"id-99d7eb0c4b8043d6aae0afb100ea9860","lien GED modèle","http://ged/sites/DIL/GFP/Industrialisations/Flux/Descriptifs%20Flux/Flux%20contremarques/Fiches%20persos%20fournisseurs/Fiche%20perso%20STRATAGEM.png?csf=1&e=NZpnSo"
"id-b6a130e96363402b97d3bf4dbd656ef4","Ref EAGLE (WRICEF)","FOSC01"
"id-b6a130e96363402b97d3bf4dbd656ef4","lien GED modèle","http://ged/sites/DIL/GFP/Gestion%20de%20Production/FS%20-%20Fiche%20Suiveuse.docx?csf=1&e=SNNKb8"
"id-67bf8cd4bd96481ba2646b30ff2d3557","Directed","false"
"id-35dc379d6638455f8eb1ec1ce4e61928","ID","CU07"
"id-35dc379d6638455f8eb1ec1ce4e61928","Directed","false"
"id-6aea67006b4e415caa7d297aebfc1e5b","Directed","false"
"id-1b7e70f819cd4623976677602ffaf783","ID","CU11"
"id-1b7e70f819cd4623976677602ffaf783","Directed","false"
"id-9dfd5b0ae68b4a6d990f17c9fb0d6800","Access_Type","Read"
"id-f2adf356a4094e9bb8cff3e7d79b9b23","Access_Type","Write"
"id-52f3423b42ed431a8269f1345408bab9","Directed","false"
"id-d1ecd59b91a64b6985758dfda124963c","ID","CU01"
"id-d1ecd59b91a64b6985758dfda124963c","Directed","false"
"id-da6331fe216341a1ad55ca61aa408666","Access_Type","Read"
"id-9216b5d7cff94873aa7a2f0a561d02ae","Directed","false"
"id-134a0c69ac69471fac2f5bcb851be3c3","Directed","false"
"id-8d56e5c0293646c3ac0a74fd220ddc99","Access_Type","ReadWrite"
"id-24103b4747d94bdcaa0d136d909c9ab7","Directed","false"
"id-3cfb9c31f57a45af9e88bdacb228dbbc","Directed","false"
"id-69ae3b0ba2f04135b799ca38f46d0de4","Access_Type","Write"
"id-9768d177264a4f2d8788a4561ac5e6b5","Directed","false"
"id-844c2038bbf945f5820936e006ed31cf","ID","CU04"
"id-844c2038bbf945f5820936e006ed31cf","Directed","false"
"id-bc808fb4d6ed44cc8fa7847e7bf9d37d","Access_Type","Write"
"id-1e781b1ec0e143c4807243b1638a53db","Directed","false"
"id-64b56ea4815642128f9f33275d909a42","ID","CU15"
"id-64b56ea4815642128f9f33275d909a42","Directed","false"
"id-b54f6bacd1d745e5a1b33b772ef6e8f1","Access_Type","Write"
"id-64a562a104864cb6b3e177e75adbeccd","ID","CU13"
"id-64a562a104864cb6b3e177e75adbeccd","Directed","false"
"id-8fb8d50224824269bfaba64abd0747d9","Access_Type","ReadWrite"
"id-da3c8baad30d4295891c8e53e3fcae8d","Directed","false"
"id-dd1dd087aa9940c1b0a2bc28c102dc08","Directed","false"
"id-268fa709a747411093d0057a17627e38","ID","CU02"
"id-268fa709a747411093d0057a17627e38","Directed","false"
"id-7e4daabf0ea74c9592ef684f7dea4dcf","Directed","false"
"id-0adee6b5154b41a9bfe08bb319fe6087","Directed","false"
"id-3ea03bec7cfd43b691a81a9b7ed01432","Directed","false"
"id-87a80f62d1b549fb9d36a8669790ff37","ID","CU05"
"id-87a80f62d1b549fb9d36a8669790ff37","Directed","false"
"id-d16699339ba740c28533dc8994fa2d17","Access_Type","ReadWrite"
"id-d35565d6aba545b9939498be4cff72cb","Access_Type","Read"
"id-e9fb4dc9ddc1482783601848bded8027","Directed","false"
"id-08766cc8311842d49f8b7b0a668ff1a8","Directed","false"
"id-a0ebf6c160264cc9a45a633063d8e6df","Directed","false"
"id-66fe6d6d14584272855d229420aa1e83","Access_Type","Write"
"id-16ce1d624d7d4679a696971d45d9d5cb","Directed","false"
"id-06ee9ca5b499439bb337a1226c699d79","Directed","false"
"id-8750beddf1194a82938a060abf9fd007","Access_Type","Read"
"id-323089871837439b9e4320333e7e8032","Access_Type","Write"
"id-dc1fc662f3b74007b12af74250898062","Access_Type","Read"
"id-bb992eb3a06c47f6a56eae2deb001130","Access_Type","ReadWrite"
"id-c6601c74bb9c421ab781e31570fb4614","Directed","false"
"id-6b8154ac37c5418aba8cd6ccd67ff01f","Access_Type","ReadWrite"
"id-203e76ce1e264cc488ab0447afd76bfe","Directed","false"
"id-cbddfb9308b045f5a135ff2b9f1e1611","ID","CU08"
"id-cbddfb9308b045f5a135ff2b9f1e1611","Directed","false"
"id-1a5a2fadae544acb8f115216610dcf8f","Access_Type","ReadWrite"
"id-9898bc7da2284bcbb7521ecca724ed57","Access_Type","ReadWrite"
"id-1476301817b24a1ca7e4855db16f1664","ID","CU03"
"id-1476301817b24a1ca7e4855db16f1664","Directed","false"
"id-bf0d9eb475eb4a419b2da329cf8bd71c","Access_Type","Read"
"id-0a5f755f011a42f89ba7a0369622dd1a","Access_Type","ReadWrite"
"id-d9ae017ce37549539d2d0389de879772","ID","CU09"
"id-d9ae017ce37549539d2d0389de879772","Directed","false"
"id-25cdc85377fe4aeda541c37af0c96b05","Access_Type","Write"
"id-79c1d4bd8c9846a0bc7c1c3793ddafc7","Access_Type","Write"
"id-3373bea8c4844ea4beeae7c7080b7634","Directed","false"
"id-d7adc1ab2ae547a58e18cfef64db90ec","Access_Type","Write"
"id-f11e3eba2a3d4792a48c0e3d54396832","Access_Type","Read"
"id-dfe826640e5745b88a1e8441da26f9f7","Directed","false"
"id-e084298fb2be4116aa6d29e90b937aee","Directed","false"
"id-ac3ef1a136e64613973489eed8ef5080","Access_Type","ReadWrite"
"id-9cc39dec19564e15939c3b1a7e999c5d","Directed","false"
"id-075edae127104d74a0dd4d7a597ec550","Directed","false"
"id-7c0cd16df9824ae39abc76ba7597ed0e","ID","CU10"
"id-7c0cd16df9824ae39abc76ba7597ed0e","Directed","false"
"id-e12cf318121e4a77a6354bdb22674c0d","Directed","false"
"id-befc6044c75643f1b037725a532b5c89","Directed","false"
"id-d5f06300293c4e049f693c9485c58821","ID","CU12"
"id-d5f06300293c4e049f693c9485c58821","Directed","false"
"id-8eba6c761c75423db88144c6403f76d3","Directed","false"
"id-e9ff8c9e5d7e48efa729d55e55bd9ee8","Access_Type","Read"
"id-f85f4bf1c51041d283d3890b06dc345b","Access_Type","ReadWrite"
"id-318f9b3987954c0eae20672ca9513547","Access_Type","Read"
"id-f16740cf2d3f4e9caf2020671f71a75d","Access_Type","Read"
"id-31d290a3c5e04504ae30daa560bd97b9","Directed","false"
"id-f3c8a6bb09fc47118917f5f3bc5428a5","Access_Type","Write"
"id-58ec42ee9055447f962b4baf921e6b73","ID","CU06"
"id-58ec42ee9055447f962b4baf921e6b73","Directed","false"
"id-96e033dd84de483cb7d7e353a08a01dd","Access_Type","Write"
"id-69879ea0f96746cbbe802d7dc4f1bec9","ID","CU14"
"id-69879ea0f96746cbbe802d7dc4f1bec9","Directed","false"
"id-2126170a59a84e92a328cb4cf160aa3b","Access_Type","Read"
